dataset_name,model_name,base_model_code,constraint_code,train_test_fold,train_test_seed,random_seed,train_fractions,train_error,train_violation,train_EqualizedOdds,train_di,train_TPRB,train_TNRB,train_f1,train_precision,train_recall,test_error,test_violation,test_EqualizedOdds,test_di,test_TPRB,test_TNRB,test_f1,test_precision,test_recall,time,phase,metrics_time
adult,LogisticRegression,,,0,50,50,1,0.145943704795688,0.1212798534894928,0.0915149417464904,0.294014003835768,0.1077119118461845,0.0744047759796227,0.6664560960202148,0.7410442519316319,0.6055098526879663,0.1518334254652662,0.1253730830013761,0.1072226083469125,0.2826571202441033,0.1261953616473793,0.0817818807055071,0.6549413735343383,0.723404255319149,0.5983167559296098,0.467171,train,
adult,LogisticRegression,,,0,50,50,1,0.145943704795688,0.1212798534894928,0.0915149417464904,0.294014003835768,0.1077119118461845,0.0744047759796227,0.6664560960202148,0.7410442519316319,0.6055098526879663,0.1518334254652662,0.1253730830013761,0.1072226083469125,0.2826571202441033,0.1261953616473793,0.0817818807055071,0.6549413735343383,0.723404255319149,0.5983167559296098,0.365658,evaluation,"[{'metric': 'train_prediction', 'time': 0.008298}, {'metric': 'train_error', 'time': 0.038487}, {'metric': 'train_violation', 'time': 0.055259}, {'metric': 'train_EqualizedOdds', 'time': 0.099646}, {'metric': 'train_di', 'time': 0.000858}, {'metric': 'train_TPRB', 'time': 0.0}, {'metric': 'train_TNRB', 'time': 0.0}, {'metric': 'train_f1', 'time': 0.016638}, {'metric': 'train_precision', 'time': 0.0}, {'metric': 'train_recall', 'time': 0.016457}, {'metric': 'test_prediction', 'time': 0.0}, {'metric': 'test_error', 'time': 0.016491}, {'metric': 'test_violation', 'time': 0.04728}, {'metric': 'test_EqualizedOdds', 'time': 0.043636}, {'metric': 'test_di', 'time': 0.0}, {'metric': 'test_TPRB', 'time': 0.003989}, {'metric': 'test_TNRB', 'time': 0.004651}, {'metric': 'test_f1', 'time': 0.003989}, {'metric': 'test_precision', 'time': 0.004992}, {'metric': 'test_recall', 'time': 0.004987}]"
adult,LogisticRegression,,,1,50,51,1,0.1471875431888331,0.122195954736823,0.0922801990642635,0.2943581831678057,0.1086126098871663,0.0762010014175831,0.6648484212734711,0.7359498374361356,0.6062751100057394,0.1471346968859406,0.1196840516287847,0.0778709668627142,0.3162891071690367,0.0916500258348198,0.0730402926449673,0.6680523799625857,0.7314519799726901,0.6147666411629686,0.401873,train,
adult,LogisticRegression,,,1,50,51,1,0.1471875431888331,0.122195954736823,0.0922801990642635,0.2943581831678057,0.1086126098871663,0.0762010014175831,0.6648484212734711,0.7359498374361356,0.6062751100057394,0.1471346968859406,0.1196840516287847,0.0778709668627142,0.3162891071690367,0.0916500258348198,0.0730402926449673,0.6680523799625857,0.7314519799726901,0.6147666411629686,0.375532,evaluation,"[{'metric': 'train_prediction', 'time': 0.032195}, {'metric': 'train_error', 'time': 0.035735}, {'metric': 'train_violation', 'time': 0.049129}, {'metric': 'train_EqualizedOdds', 'time': 0.083394}, {'metric': 'train_di', 'time': 0.0}, {'metric': 'train_TPRB', 'time': 0.015901}, {'metric': 'train_TNRB', 'time': 0.014515}, {'metric': 'train_f1', 'time': 0.00435}, {'metric': 'train_precision', 'time': 0.014362}, {'metric': 'train_recall', 'time': 0.007979}, {'metric': 'test_prediction', 'time': 0.007623}, {'metric': 'test_error', 'time': 0.013967}, {'metric': 'test_violation', 'time': 0.017235}, {'metric': 'test_EqualizedOdds', 'time': 0.046942}, {'metric': 'test_di', 'time': 0.0}, {'metric': 'test_TPRB', 'time': 0.0}, {'metric': 'test_TNRB', 'time': 0.0}, {'metric': 'test_f1', 'time': 0.015583}, {'metric': 'test_precision', 'time': 0.0}, {'metric': 'test_recall', 'time': 0.015619}]"
adult,LogisticRegression,,,2,50,52,1,0.14833241201400404,0.12157196068558478,0.09006017704628233,0.29736844447213145,0.10599608410580008,0.07619892757133817,0.6623322147651006,0.7330547818012999,0.6040550879877582,0.14567400718695292,0.12072309422059915,0.09218440971887476,0.2863792257210443,0.1085035417096486,0.07434088987092546,0.6642599277978339,0.7461832061068703,0.5985457328740911,0.460969,train,
adult,LogisticRegression,,,2,50,52,1,0.14833241201400404,0.12157196068558478,0.09006017704628233,0.29736844447213145,0.10599608410580008,0.07619892757133817,0.6623322147651006,0.7330547818012999,0.6040550879877582,0.14567400718695292,0.12072309422059915,0.09218440971887476,0.2863792257210443,0.1085035417096486,0.07434088987092546,0.6642599277978339,0.7461832061068703,0.5985457328740911,0.306721,evaluation,"[{'metric': 'train_prediction', 'time': 0.012049}, {'metric': 'train_error', 'time': 0.023134}, {'metric': 'train_violation', 'time': 0.055383}, {'metric': 'train_EqualizedOdds', 'time': 0.062891}, {'metric': 'train_di', 'time': 0.0}, {'metric': 'train_TPRB', 'time': 0.0}, {'metric': 'train_TNRB', 'time': 0.0}, {'metric': 'train_f1', 'time': 0.020062}, {'metric': 'train_precision', 'time': 0.004326}, {'metric': 'train_recall', 'time': 0.0}, {'metric': 'test_prediction', 'time': 0.018996}, {'metric': 'test_error', 'time': 0.013963}, {'metric': 'test_violation', 'time': 0.024418}, {'metric': 'test_EqualizedOdds', 'time': 0.040295}, {'metric': 'test_di', 'time': 0.0}, {'metric': 'test_TPRB', 'time': 0.0}, {'metric': 'test_TNRB', 'time': 0.0}, {'metric': 'test_f1', 'time': 0.015582}, {'metric': 'test_precision', 'time': 0.0}, {'metric': 'test_recall', 'time': 0.015622}]"
